acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.94,0.18,0.28,497.97,1.05,500.82,12:44:26,0.997196069
0.93,0.18,0.3,497.74,1.12,500.72,12:44:26,0.99362971
0.93,0.18,0.3,498.34,-0.59,1.7,12:44:27,0.99362971
0.94,0.17,0.29,497.37,1.21,1.9,12:44:27,0.998298553
0.93,0.18,0.3,498.61,0.88,499.06,12:44:28,0.99362971
0.93,0.18,0.3,498.26,0.48,500.79,12:44:28,0.99362971
0.93,0.19,0.3,498.16,-0.27,500.92,12:44:29,0.995489829
0.93,0.19,0.29,498.06,0.1,0.8,12:44:29,0.99252204
0.94,0.19,0.3,498.35,0.39,1.11,12:44:30,1.004838295
0.93,0.19,0.29,497.69,0.14,499.19,12:44:30,0.99252204
0.93,0.2,0.3,498.17,0.7,501,12:44:31,0.99744674
0.94,0.19,0.33,495.88,2.56,7,12:44:31,1.014199191
0.92,0.15,0.32,500.74,496.9,499.83,12:44:32,0.985545534
0.96,0.23,0.19,496.02,493,496.65,12:44:32,1.005286029
0.94,0.21,0.22,499.51,1.78,3.75,12:44:33,0.987977733
0.97,0.13,0.24,499.47,490.37,500.33,12:44:33,1.007670581
0.95,0.19,0.17,5.04,496.08,1,12:44:34,0.983615779
0.97,0.18,0.17,497.71,1.33,500.06,12:44:34,1.001099396
0.97,0.23,0.18,486.03,459.74,7.83,12:44:35,1.013015301
0.98,0.19,0.01,500.28,32.55,1.58,12:44:35,0.998298553
0.94,0.28,0,499.54,492.05,497.53,12:44:36,0.980815987
1.01,0.19,3.96,498.04,36.13,500.64,12:44:37,4.091185647
0.99,0.19,0.01,499.12,-1.02,0.85,12:44:37,1.008117057
0.99,0.21,0.01,499.15,2.85,499.64,12:44:38,1.012077072
0.99,0.19,0.04,500.51,-1.02,499.86,12:44:38,1.008860744
0.99,0.2,0.01,499.26,1.09,499.57,12:44:39,1.010049504
0.98,0.24,0.02,0.78,1.69,487.7,12:44:39,1.009158065
0.92,0.39,3.9,14.14,466.99,485.27,12:44:40,4.025978142
0.84,0.48,3.64,9.48,480.08,497.55,12:44:40,3.76637757
0.72,0.47,3.47,9.09,483,498.39,12:44:41,3.574940559
0.74,0.43,3.38,10.83,2.48,500.4,12:44:41,3.486674634
0.75,0.38,3.57,478.74,32.8,15.06,12:44:42,3.66766956
0.86,0.4,3.78,487.95,7.98,3.94,12:44:42,3.897178467
0.91,0.45,3.8,2.08,495.28,497.03,12:44:43,3.933268361
0.92,0.42,3.75,492.06,490.35,5.33,12:44:43,3.883979918
0.91,0.37,3.73,484.68,496.17,6.21,12:44:44,3.857188095
0.9,0.46,3.68,498.91,487.04,4.07,12:44:44,3.816280912
0.85,0.43,3.65,10.49,489.44,500.88,12:44:45,3.772253968
0.83,0.34,3.46,495.7,495.89,10.33,12:44:45,3.574367077
0.85,0.31,3.44,492.35,0.89,4.97,12:44:46,3.556993112
0.85,0.3,3.48,496.67,1.77,2.77,12:44:46,3.594843529
0.85,0.29,3.49,497.74,1.39,500.94,12:44:47,3.603706425
0.84,0.32,3.48,499.49,0.04,499.24,12:44:47,3.594217578
0.84,0.29,3.47,498.45,0.88,1.19,12:44:48,3.581982691
