acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.9,0.08,3.49,30.67,1.44,490.63,11:57:59,3.60506588
0.86,0.14,3.41,46.22,495.59,476.92,11:57:59,3.519559632
0.91,0.06,3.47,7.32,0.67,497.6,11:58:00,3.587840576
0.88,0.07,3.45,2.06,4.36,498.45,11:58:00,3.561151499
0.87,0.09,3.46,490.41,0.24,4.82,11:58:01,3.568837346
0.89,0.09,3.47,484.24,2.33,6.82,11:58:01,3.58344806
0.89,0.07,3.5,489.53,1.32,3.04,11:58:02,3.612063122
0.89,0.12,3.45,12.41,0.14,494.85,11:58:02,3.564968443
0.89,0.09,3.47,6.35,-0.89,500.63,11:58:03,3.58344806
0.89,0.07,3.46,494.92,0.9,1.61,11:58:03,3.573317786
0.89,0.07,3.48,494.74,498.24,2.2,11:58:03,3.592687017
0.88,0.07,3.46,498.8,-0.72,1.95,11:58:03,3.570840237
0.87,0.07,3.43,490.51,-0.89,4.28,11:58:04,3.539307842
0.87,0.12,3.42,474.67,2.36,9.32,11:58:04,3.530963041
0.86,0.13,3.43,461.64,496.66,15.79,11:58:05,3.538559029
0.87,0.11,3.44,476.48,496.73,14,11:58:05,3.550014084
0.86,0.15,3.44,491.93,1.66,2.41,11:58:06,3.549042124
0.88,0.17,3.48,1.9,3.86,495.71,11:58:06,3.593563691
0.87,0.19,3.45,495.54,0.36,2.71,11:58:07,3.563074515
0.87,0.18,3.48,499.16,4.27,499.75,11:58:07,3.591615236
0.91,0.08,3.58,30.75,1.52,498.34,11:58:08,3.694712438
0.86,0.15,3.47,46.29,495.67,483.31,11:58:08,3.578128002
0.92,0.06,3.55,7.39,0.72,506.56,11:58:09,3.667764987
0.88,0.08,3.5,2.11,4.39,505.81,11:58:09,3.60981994
0.87,0.1,3.52,490.46,0.31,10.19,11:58:10,3.627299271
0.9,0.09,3.54,484.34,2.35,9.47,11:58:10,3.653724128
0.9,0.08,3.53,489.56,1.35,12.61,11:58:11,3.643802958
0.89,0.13,3.52,12.44,0.2,498.37,11:58:11,3.633097852
0.9,0.1,3.53,6.41,-0.86,504.62,11:58:12,3.644296914
0.9,0.07,3.48,494.96,0.93,8.97,11:58:12,3.595177325
0.9,0.08,3.53,494.83,498.27,4.09,11:58:13,3.643802958
0.89,0.07,3.5,498.81,-0.64,8.91,11:58:13,3.612063122
0.88,0.07,3.47,490.6,-0.87,8.19,11:58:14,3.580530687
0.88,0.13,3.45,474.77,2.45,11.26,11:58:14,3.562835949
0.87,0.13,3.46,461.65,496.69,25.26,11:58:15,3.570070027
0.88,0.12,3.46,476.57,496.75,19.34,11:58:15,3.572170209
0.87,0.15,3.53,492.01,1.71,8.05,11:58:16,3.638722303
0.89,0.18,3.53,1.97,3.95,502.06,11:58:16,3.644914265
0.88,0.2,3.54,495.6,0.42,10.94,11:58:17,3.65321776
0.88,0.18,3.51,499.23,4.28,504.26,11:58:17,3.623106402
0.91,0.09,3.59,30.83,1.59,502.64,11:58:18,3.704632235
0.87,0.15,3.57,46.3,495.75,489.19,11:58:18,3.677539939
