acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.78,0,0.56,3.2,470.27,493.22,13:06:45,0.960208311
0.87,0.07,0.32,1.58,22.15,498.49,13:06:46,0.92962358
0.73,3.9,0.6,476.69,18.97,486.39,13:06:46,4.012841886
0.6,0.06,0.66,10.87,474.18,488.44,13:06:47,0.893979866
0.85,0.13,0.38,494.61,2.43,493.87,13:06:47,0.940106377
0.58,3.92,0.62,486.7,12.77,10.81,13:06:48,4.010885189
0.83,3.92,0.59,21.93,495.47,12.71,13:06:48,4.05011111
0.74,0.17,0.56,16.8,474.13,1.9,13:06:49,0.943451112
0.91,0.15,0.4,488.39,19.79,498.81,13:06:49,1.005286029
0.83,3.88,0.62,488.48,6.92,2.87,13:06:50,4.015930776
0.81,3.95,0.62,4.77,-1,499.5,13:06:50,4.079583312
0.83,0.14,0.45,11.58,493.21,8.46,13:06:51,0.9544632
1,0.01,0.53,26.16,492.92,23.19,13:06:52,1.131812705
0.75,4,0.62,495.65,12.56,495.6,13:06:52,4.116661269
0.74,0.06,0.63,22.69,490.11,500.19,13:06:53,0.973704267
0.81,0.04,0.49,9.19,0.96,32.62,13:06:53,0.947523087
0.8,3.94,0.56,6.33,6.09,14.67,13:06:54,4.059211746
0.74,3.88,0.69,20.96,0.02,16.49,13:06:54,4.009750616
0.78,0.14,0.62,71.54,496.1,38.97,13:06:55,1.006180898
0.8,0.05,0.53,39.12,12.25,47.64,13:06:55,0.960937043
0.8,3.92,0.58,12.47,494.74,20.05,13:06:56,4.042622911
0.88,3.89,0.69,32.72,482.93,16.94,13:06:56,4.047542464
0.89,0.12,0.39,46.91,10.52,25.83,13:06:57,0.979081202
0.73,3.93,0.57,476.97,22.78,5.12,13:06:57,4.037660214
0.92,0.21,0.61,20.07,476.92,494.64,13:06:58,1.123654751
0.85,0.08,0.34,0.67,2.05,500.51,13:06:58,0.918966811
0.9,3.96,0.67,491.54,16.27,2.45,13:06:59,4.115883866
0.89,3.81,0.79,495.62,34.73,497.82,13:06:59,3.991528529
0.83,0.11,0.43,19.31,4.4,14.08,13:07:00,0.941222609
0.78,0.01,0.65,496.58,25.44,9.61,13:07:00,1.015381702
0.81,3.92,0.61,19.32,494.05,9.56,13:07:01,4.049024574
0.84,0.15,0.45,2.92,482.1,7.35,13:07:01,0.964676111
1.1,0.1,0.46,10.18,18.26,10.89,13:07:02,1.196494881
0.77,4,0.61,482.38,20.56,492.64,13:07:02,4.118859065
0.67,0.17,0.59,449.38,463.66,463.82,13:07:03,0.908790405
0.73,0.27,0.53,423.17,8.53,445.09,13:07:03,0.941647492
0.79,3.96,0.68,468.91,492.92,484.67,13:07:04,4.094887056
0.78,3.97,0.64,493.45,487.34,490.89,13:07:04,4.096205561
0.79,0,0.58,3.22,470.34,495.84,13:07:05,0.980051019
0.87,0.07,0.4,1.66,22.25,508.42,13:07:05,0.960104161
0.74,3.91,0.69,476.75,19.03,491.61,13:07:06,4.038786947
0.61,0.07,0.7,10.93,474.21,493.7,13:07:06,0.931128348
0.86,0.14,0.47,494.69,2.45,501.64,13:07:07,0.99
0.59,3.93,0.72,486.77,12.83,14.88,13:07:07,4.038737426
0.84,3.92,0.65,22.01,495.55,20.02,13:07:08,4.061342143
0.74,0.17,0.59,16.88,474.15,6.8,13:07:08,0.96156123
0.92,0.15,0.43,488.41,19.87,507.36,13:07:09,1.026547612
0.83,3.88,0.71,488.53,6.99,12.84,13:07:09,4.030806371
0.81,3.96,0.63,4.83,-0.95,504.86,13:07:10,4.090794544
0.84,0.15,0.47,11.61,493.26,11.54,13:07:10,0.97416631
1,0.02,0.6,26.19,492.95,25.11,13:07:11,1.166361865
0.75,4.01,0.67,495.71,12.63,501.46,13:07:11,4.13418674
0.75,0.06,0.65,22.72,490.18,502.74,13:07:12,0.994283662
0.81,0.05,0.5,9.29,1,40.41,13:07:12,0.95320512
0.81,3.94,0.65,6.4,6.18,20.66,13:07:13,4.074579733
0.74,3.88,0.77,20.98,0.11,25.6,13:07:13,4.024288757
0.79,0.15,0.69,71.58,496.17,41.11,13:07:14,1.059575387
0.8,0.05,0.58,39.14,12.33,49.48,13:07:14,0.989393754
0.8,3.92,0.67,12.5,494.82,22.38,13:07:15,4.056513281
0.89,3.9,0.73,32.77,483.01,25.77,13:07:15,4.066325122
0.9,0.12,0.4,46.97,10.58,32.65,13:07:16,0.99216934
0.73,3.94,0.67,477.03,22.85,12.95,13:07:16,4.062683842
0.92,0.21,0.64,20.12,476.95,498.59,13:07:17,1.140219277
0.86,0.08,0.44,0.72,2.08,502.62,13:07:17,0.969329665
0.9,3.96,0.7,491.61,16.31,11.58,13:07:18,4.120873694
0.89,3.81,0.88,495.7,34.8,504.08,13:07:18,4.010311709
0.84,0.11,0.47,19.4,4.42,16.24,13:07:19,0.968813708
0.79,0.01,0.69,496.6,25.49,11.56,13:07:19,1.048951858
0.81,3.93,0.65,19.39,494.14,13.98,13:07:20,4.064910823
0.85,0.16,0.51,2.95,482.17,9.18,13:07:20,1.004091629
1.1,0.1,0.56,10.23,18.36,17.84,13:07:21,1.238386046
0.77,4.01,0.7,482.44,20.65,494.63,13:07:21,4.142825123
0.68,0.18,0.61,449.45,463.74,470.41,13:07:22,0.931074648
0.73,0.27,0.58,423.18,8.61,452.93,13:07:22,0.970669872
0.79,3.96,0.72,468.97,492.96,486.6,13:07:23,4.101719152
0.79,3.98,0.69,493.54,487.4,492.77,13:07:23,4.115896014
