acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
1.01,0.07,3.87,497.87,-0.15,501.04,13:06:15,4.000237493
0.99,0.08,3.87,498.64,-0.47,500.55,13:06:16,3.995422381
1.01,0.08,3.86,497.99,0.34,500.74,13:06:16,3.990751809
1,0.08,3.85,498.29,-0.14,500.97,13:06:17,3.978555014
1.01,0.08,3.86,496.6,0.16,499.23,13:06:17,3.990751809
1,0.18,3.95,482.87,20.4,488.55,13:06:18,4.078590443
1.01,0.25,0.28,485.77,15.53,496.19,13:06:18,1.0774971
0.88,0.16,0.34,493.96,11.62,4,13:06:19,0.956869897
0.73,0.25,0.46,9.27,4.24,3.9,13:06:19,0.898331787
0.76,0.13,0.57,496.9,10.53,493.26,13:06:20,0.958853482
0.83,0.16,0.59,497.05,4.99,1.46,13:06:20,1.030824912
0.77,0.14,0.6,1.05,6.69,499.49,13:06:21,0.986154146
0.79,0.06,0.63,494.9,1.81,23.44,13:06:21,1.012225271
0.83,3.97,0.63,494.46,12.95,3.53,13:06:22,4.10447317
0.78,3.98,0.69,14.09,478.51,3.34,13:06:22,4.113988333
0.76,4,0.62,5.86,-0.22,6.35,13:06:23,4.118494871
0.81,3.98,0.59,1.14,0.23,4.72,13:06:23,4.104217343
0.78,3.97,0.61,494.48,-0.57,498.55,13:06:24,4.091625594
1.02,0.08,3.95,497.91,-0.08,510.37,13:06:24,4.080355377
1,0.09,3.89,498.66,-0.39,506.92,13:06:25,4.017486777
1.01,0.09,3.92,498.04,0.38,502.97,13:06:25,4.049024574
1,0.09,3.89,498.33,-0.1,507.87,13:06:26,4.017486777
1.02,0.08,3.9,496.67,0.25,504.97,13:06:26,4.031972222
1.01,0.19,3.99,482.93,20.42,498.16,13:06:27,4.120230576
1.01,0.26,0.36,485.85,15.59,505.52,13:06:27,1.103313192
0.88,0.16,0.4,494.06,11.68,8.87,13:06:28,0.979795897
0.73,0.25,0.49,9.28,4.26,7.69,13:06:28,0.914056891
0.77,0.14,0.66,496.97,10.58,501.32,13:06:29,1.023767552
0.84,0.16,0.62,497.08,5.09,10.79,13:06:29,1.056219674
0.77,0.15,0.62,1.12,6.76,506.92,13:06:30,0.999899995
0.79,0.07,0.68,494.92,1.9,32.81,13:06:30,1.044700914
0.83,3.98,0.67,494.48,13,10.29,13:06:31,4.120461139
0.78,3.99,0.73,14.1,478.61,4.9,13:06:31,4.130544758
0.77,4,0.7,5.91,-0.18,7.55,13:06:32,4.133146501
0.81,3.98,0.68,1.16,0.3,10.58,13:06:32,4.118118502
0.78,3.98,0.69,494.5,-0.51,501.13,13:06:33,4.113988333
