acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
1.02,0.09,2.9,3.67,478.66,493.73,12:00:54,3.075467444
1.05,3.9,3.67,22.23,37.15,13.21,12:00:54,5.457233731
0.74,0.21,2.91,454.47,468.85,473.86,12:00:55,3.009950166
1,0.34,3.08,20.05,44.17,500.63,12:00:55,3.256071252
0.8,3.62,3.28,463.05,482.27,464.3,12:00:56,4.950030303
0.54,0.24,2.43,489.77,65.14,14.03,12:00:56,2.500819866
0.67,3.51,2.86,5.12,37.2,481.79,12:00:57,4.576964059
0.34,0.33,2.5,494.38,16.81,14.68,12:00:57,2.544503881
0.28,3.52,3.1,475.64,58,18.88,12:00:58,4.69880836
0.66,0.28,3.21,21.42,466.77,495.32,12:00:58,3.289088019
0.31,3.68,3.17,464.41,14.37,27.23,12:00:59,4.86697031
0.7,3.97,3.34,60.83,3.7,427.06,12:00:59,5.235121775
0.74,0.04,3.27,46.58,-1.87,460.92,12:01:00,3.352924097
0.61,0.13,3.24,46.7,18.89,443.84,12:01:00,3.299484808
0.89,0.01,3.24,41.28,19.87,456,12:01:01,3.360029762
0.72,3.98,3.32,11.86,497.73,4.23,12:01:01,5.232704845
0.9,0.15,3.04,489.04,458.86,483.48,12:01:02,3.173972275
0.52,0.17,3.18,6.56,15.82,489.62,12:01:02,3.226716597
0.44,3.74,3.22,478.85,469.57,7.35,12:01:03,4.954755292
0.98,0.27,3.44,21.4,452.56,492.97,12:01:03,3.587046139
0.66,0.1,3.34,467.77,488.24,22.19,12:01:04,3.406053435
0.83,0.12,3.52,8.03,16.44,478.68,12:01:04,3.618521798
0.75,0.46,3.56,491.9,10.47,30.82,12:01:05,3.667110579
0.53,0.09,3.57,497.42,37.94,469.39,12:01:05,3.610249299
0.63,0.07,3.55,490.13,53.14,35.59,12:01:06,3.606147529
0.63,0.05,3.54,12.4,20.47,472.75,12:01:06,3.595969967
1.09,0.25,3.62,481.66,497.68,32.36,12:01:07,3.788799282
0.87,0.25,3.46,9.35,482.72,491.35,12:01:07,3.576450755
0.64,0.23,3.12,445.93,469.6,30.39,12:01:08,3.193258524
0.28,0.23,3.21,467.11,10.4,23.85,12:01:08,3.230386974
0.79,3.87,3.34,112.52,4.55,410.95,12:01:09,5.172678223
0.76,0.1,3.3,52.68,494.93,448.35,12:01:09,3.387860682
0.82,0.07,3.41,11.38,488.22,472.71,12:01:10,3.507905358
0.66,0.2,3.24,52.54,15.45,449.09,12:01:10,3.312582074
1.02,0.1,2.99,3.71,478.71,503.13,12:01:11,3.160775221
1.06,3.91,3.7,22.25,37.2,22.78,12:01:11,5.486501618
0.74,0.22,3,454.51,468.92,482.23,12:01:12,3.097741112
1,0.35,3.14,20.14,44.23,510.27,12:01:12,3.313925165
0.81,3.63,3.32,463.07,482.34,465.84,12:01:13,4.98551903
0.55,0.25,2.52,489.81,65.17,19.99,12:01:13,2.591408883
0.68,3.51,2.93,5.13,37.26,491.4,12:01:14,4.622488507
0.34,0.33,2.54,494.42,16.89,23.39,12:01:14,2.583815009
0.28,3.53,3.19,475.7,58.06,19.96,12:01:15,4.766067561
0.67,0.29,3.3,21.46,466.86,501.35,12:01:15,3.379792893
0.32,3.69,3.26,464.51,14.39,32.98,12:01:16,4.93417673
0.7,3.98,3.43,60.86,3.76,435.55,12:01:16,5.300499976
0.75,0.05,3.3,46.59,-1.83,465.75,12:01:17,3.3845236
0.61,0.14,3.32,46.75,18.97,448.05,12:01:17,3.378475988
0.9,0.02,3.28,41.37,19.9,464.28,12:01:18,3.401293871
0.72,3.98,3.39,11.91,497.74,9.95,12:01:18,5.277395191
0.9,0.16,3.06,489.09,458.95,484.92,12:01:19,3.193618637
0.53,0.17,3.21,6.57,15.88,499.05,12:01:19,3.257898095
0.44,3.74,3.31,478.93,469.65,12.63,12:01:20,5.0137112
0.99,0.28,3.51,21.46,452.61,499.89,12:01:20,3.657676858
0.67,0.1,3.42,467.84,488.33,31.6,12:01:21,3.486445181
0.84,0.13,3.58,8.07,16.52,481.08,12:01:21,3.679524426
0.75,0.46,3.65,491.98,10.49,37.38,12:01:22,3.754543914
0.54,0.1,3.65,497.44,37.96,478.1,12:01:22,3.691083852
0.64,0.07,3.6,490.15,53.2,41.05,12:01:23,3.65711635
0.64,0.06,3.6,12.42,20.55,482.32,12:01:23,3.65693861
1.1,0.26,3.63,481.69,497.7,41.61,12:01:24,3.801907416
0.88,0.25,3.5,9.43,482.74,493.15,12:01:24,3.617582065
0.64,0.23,3.15,446.01,469.63,37.96,12:01:25,3.222576609
0.29,0.23,3.3,467.16,10.42,32.24,12:01:25,3.320692699
0.8,3.87,3.42,112.57,4.6,418.51,12:01:26,5.226212778
0.76,0.11,3.34,52.76,495,454.47,12:01:26,3.427141666
0.83,0.08,3.44,11.46,488.28,479.12,12:01:27,3.539618624
0.67,0.2,3.26,52.55,15.51,451.77,12:01:27,3.334141569
1.02,0.1,3.01,3.78,478.74,504.49,12:01:28,3.179701244
1.06,3.92,3.79,22.27,37.22,28.59,12:01:28,5.554646703
